open	high	low	close	volume	macd	signal	position	pct change	strategy_returns	cumulative_returns
2636.83	2637.16	2636.83	2636.94	34.8131		-1				
2636.94	2636.94	2636.5	2636.51	26.3018		-1	0.0	-0.00016306779828123563	-0.0	0.0
2636.5	2636.51	2635.86	2636.2	89.277		-1	0.0	-0.00011757967919723278	-0.0	0.0
2636.2	2636.47	2636.2	2636.46	20.7104		-1	0.0	9.862681131944662e-05	0.0	0.0
2636.46	2636.47	2636.13	2636.13	32.1951		-1	0.0	-0.0001251678386927635	-0.0	0.0
2636.14	2637.73	2636.13	2637.72	45.0611		-1	0.0	0.0006031569004563142	0.0	0.0
2637.72	2638.46	2637.57	2637.58	81.5061		-1	0.0	-5.307614151606188e-05	-0.0	0.0
2637.58	2637.58	2636.55	2636.56	77.492		-1	0.0	-0.0003867181279809673	-0.0	0.0
2636.55	2636.56	2636.14	2636.15	20.8302		-1	0.0	-0.0001555056588887771	-0.0	0.0
2636.16	2638.1	2636.15	2638.1	344.1189		-1	0.0	0.0007397151148453851	0.0	0.0
2638.11	2638.71	2637.74	2638.71	477.7602		-1	0.0	0.00023122701944577884	0.0	0.0
2638.71	2640.82	2638.71	2640.51	518.3627		-1	0.0	0.0006821515058494931	0.0	0.0
2640.5	2640.5	2638.66	2639.0	173.6358		-1	0.0	-0.0005718592241651388	-0.0	0.0
2639.01	2639.97	2639.0	2639.97	38.2582		-1	0.0	0.0003675634710116338	0.0	0.0
2639.97	2640.32	2639.26	2640.06	89.8957		-1	0.0	3.409129649201148e-05	0.0	0.0
2640.08	2640.31	2640.08	2640.2	49.8821		-1	0.0	5.30290978235648e-05	0.0	0.0
2640.2	2640.2	2639.91	2640.17	30.7302		-1	0.0	-1.136277554725229e-05	-0.0	0.0
2640.17	2640.27	2639.92	2640.27	66.9429		-1	0.0	3.7876348871535015e-05	0.0	0.0
2640.26	2641.16	2640.26	2641.05	110.1424		-1	0.0	0.0002954243316024563	0.0	0.0
2641.05	2641.06	2640.8	2640.81	134.4118		-1	0.0	-9.08729482592685e-05	-0.0	0.0
2640.81	2640.81	2640.29	2640.29	37.0805		-1	0.0	-0.00019690928162197086	-0.0	0.0
2640.29	2642.69	2640.29	2642.69	79.0776		-1	0.0	0.0009089910578004012	0.0	0.0
2642.68	2643.6	2642.35	2643.59	144.6484		-1	0.0	0.0003405620787910735	0.0	0.0
2643.59	2643.6	2643.11	2643.12	60.2558		-1	0.0	-0.00017778853755701096	-0.0	0.0
2643.12	2643.12	2640.88	2640.88	96.6618		-1	0.0	-0.0008474832773388563	-0.0	0.0
2640.88	2642.0	2640.88	2641.73	48.2446		-1	0.0	0.00032186240949982903	0.0	0.0
2641.73	2641.73	2640.7	2640.71	28.3317		-1	0.0	-0.0003861106169062989	-0.0	0.0
2640.71	2640.97	2640.7	2640.96	20.6916		-1	0.0	9.467150879882702e-05	0.0	0.0
2640.97	2641.71	2640.96	2641.52	60.307		-1	0.0	0.00021204410517383643	0.0	0.0
2641.52	2642.2	2641.52	2641.73	54.8962	1.4352778751222104	1	2.0	7.949968200127167e-05	0.0047699809200763	0.0047699809200763
2641.73	2641.74	2640.48	2640.49	60.0097	1.1239508673497767	1	0.0	-0.00046938937741569653	-0.0	0.0047699809200763
2640.49	2640.79	2640.16	2640.17	44.283	0.824419901467536	1	0.0	-0.00012118962768259411	-0.0	0.0047699809200763
2640.16	2640.79	2640.16	2640.78	35.9262	0.7440066772337559	1	0.0	0.00023104572811605273	0.0	0.0047699809200763
